ano,Clave,ES,EST, Muni , Total , H , M ,,,, Total , H , M ,,,Clave,ES,EST, Muni , Total , H , M ,,,,,,,,
,VA-Municipio Autónomo Vargas,VA,VARGAS,Municipio Autónomo Vargas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,DI-Municipio Autónomo Vargas,DI,DISTRITO FEDERAL,Municipio Autónomo Vargas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,Etiquetas de fila,Suma de Total,,Etiquetas de fila, Suma de Total ,
,DI-Municipio Autónomo Libertador,DI,DISTRITO CAPITAL,Municipio Autónomo Libertador,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,AMAZONAS,396,,AMAZONAS, 396 , -   
,DI-Parroquia Altagracia,DI,DISTRITO CAPITAL,Parroquia Altagracia,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,ANZOATEGUI,3262,,ANZOATEGUI," 3,262 ", -   
,DI-Parroquia Antímano,DI,DISTRITO CAPITAL,Parroquia Antímano,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,APURE,1223,,APURE," 1,223 ", -   
,DI-Parroquia Candelaria,DI,DISTRITO CAPITAL,Parroquia Candelaria,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,ARAGUA,6058,,ARAGUA," 6,058 ", -   
,DI-Parroquia Caricuao,DI,DISTRITO CAPITAL,Parroquia Caricuao,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,BARINAS,2321,,BARINAS," 2,321 ", -   
,DI-Parroquia Catedral,DI,DISTRITO CAPITAL,Parroquia Catedral,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,BOLIVAR,5047,,BOLIVAR," 5,047 ", -   
,DI-Parroquia Coche,DI,DISTRITO CAPITAL,Parroquia Coche,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,CARABOBO,7960,,CARABOBO," 7,960 ", -   
,DI-Parroquia El Junquito,DI,DISTRITO CAPITAL,Parroquia El Junquito,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,COJEDES,1027,,COJEDES," 1,027 ", -   
,DI-Parroquia El Paraíso,DI,DISTRITO CAPITAL,Parroquia El Paraíso,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,DELTA AMACURO,393,,DELTA AMACURO, 393 , -   
,DI-Parroquia El Recreo,DI,DISTRITO CAPITAL,Parroquia El Recreo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,DEPENDENCIAS FEDERALES,0,,DTTO. FEDERAL," 14,866 "," (1,354)"
,DI-Parroquia El Valle,DI,DISTRITO CAPITAL,Parroquia El Valle,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,DISTRITO CAPITAL,13512,,FALCÓN," 2,543 ", -   
,DI-Parroquia La Pastora,DI,DISTRITO CAPITAL,Parroquia La Pastora,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,DISTRITO FEDERAL,1354,,GUÁRICO," 2,798 ", -   
,DI-Parroquia La Vega,DI,DISTRITO CAPITAL,Parroquia La Vega,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,FALCON,2543,,LARA," 6,747 ", -   
,DI-Parroquia Macarao,DI,DISTRITO CAPITAL,Parroquia Macarao,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,GUARICO,2798,,MERIDA," 3,552 ", -   
,DI-Parroquia San Agustín,DI,DISTRITO CAPITAL,Parroquia San Agustín,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,LARA,6747,,MIRANDA," 9,021 ", -   
,DI-Parroquia San Bernardino,DI,DISTRITO CAPITAL,Parroquia San Bernardino,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,MERIDA,3552,,MONAGAS," 2,483 ", -   
,DI-Parroquia San José,DI,DISTRITO CAPITAL,Parroquia San José,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,MIRANDA,9021,,NUEVA ESPARTA," 1,522 ", -   
,DI-Parroquia San Juan,DI,DISTRITO CAPITAL,Parroquia San Juan,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,MONAGAS,2483,,PORTUGUESA," 2,899 ", -   
,DI-Parroquia San Pedro,DI,DISTRITO CAPITAL,Parroquia San Pedro,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,NUEVA ESPARTA,1522,,SUCRE," 2,782 ", -   
,DI-Parroquia Santa Rosalía,DI,DISTRITO CAPITAL,Parroquia Santa Rosalía,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,PORTUGUESA,2899,,TACHIRA," 4,746 ", -   
,DI-Parroquia Santa Teresa,DI,DISTRITO CAPITAL,Parroquia Santa Teresa,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,SUCRE,2782,,TRUJILLO," 3,349 ", -   
,DI-Parroquia Sucre,DI,DISTRITO CAPITAL,Parroquia Sucre,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,TACHIRA,4746,,YARACUY," 2,021 ", -   
,DI-Parroquia Veintitrés de Enero,DI,DISTRITO CAPITAL,Parroquia Veintitrés de Enero,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,TRUJILLO,3349,,ZULIA," 13,029 ", -   
,AM-Municipio Autónomo Alto Orinoco,AM,AMAZONAS,Municipio Autónomo Alto Orinoco,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,VARGAS,0,,(en blanco),," 13,029 "
,AM-Municipio Autónomo Atabapo,AM,AMAZONAS,Municipio Autónomo Atabapo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,YARACUY,2021,,Total general," 100,045 ",
,AM-Municipio Autónomo Atures,AM,AMAZONAS,Municipio Autónomo Atures,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,ZULIA,13029,,,," 13,029 "
,AM-Municipio Autónomo Autana,AM,AMAZONAS,Municipio Autónomo Autana,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,Total general,100045,,,," 13,029 "
,AM-Municipio Autónomo Manapiare,AM,AMAZONAS,Municipio Autónomo Manapiare,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AM-Municipio Autónomo Maroa,AM,AMAZONAS,Municipio Autónomo Maroa,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,AM-Municipio Autónomo Río Negro,AM,AMAZONAS,Municipio Autónomo Río Negro,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
