GID_2,GID_0,COUNTRY,GID_1,EST,NL_NAME_1,Muni_GADM,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,Muni_Clean,ID_Area,Riesgo_Espacial
VEN.1.1_1,VEN,Venezuela,VEN.1_1,AMAZONAS,NA,Alto Orinoco,NA,NA,Municipio,Municipality,NA,NA,ALTO ORINOCO,1,0.6739729352572992
VEN.1.2_1,VEN,Venezuela,VEN.1_1,AMAZONAS,NA,Atabapo,NA,NA,Municipio,Municipality,NA,NA,ATABAPO,2,0.43925040775159707
VEN.1.3_1,VEN,Venezuela,VEN.1_1,AMAZONAS,NA,Atures,NA,NA,Municipio,Municipality,NA,NA,ATURES,3,1.236173573637048
VEN.1.4_1,VEN,Venezuela,VEN.1_1,AMAZONAS,NA,Autana,NA,NA,Municipio,Municipality,NA,NA,AUTANA,4,0.30387158565599054
VEN.1.5_1,VEN,Venezuela,VEN.1_1,AMAZONAS,NA,Manapiare,NA,NA,Municipio,Municipality,NA,NA,MANAPIARE,5,0.2703442921510213
VEN.1.6_1,VEN,Venezuela,VEN.1_1,AMAZONAS,NA,Maroa,NA,NA,Municipio,Municipality,NA,NA,MAROA,6,0.40606180740474923
VEN.1.7_1,VEN,Venezuela,VEN.1_1,AMAZONAS,NA,Río Negro,NA,NA,Municipio,Municipality,NA,NA,RIO NEGRO,7,0.6730083952663745
VEN.2.1_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Anaco,NA,NA,Municipio,Municipality,NA,NA,ANACO,8,0.8968597553718968
VEN.2.2_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Aragua,NA,NA,Municipio,Municipality,NA,NA,ARAGUA,9,1.0365770175980518
VEN.2.3_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Bolívar,NA,NA,Municipio,Municipality,NA,NA,BOLIVAR,10,1.4920739308404287
VEN.2.4_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Bruzual,NA,NA,Municipio,Municipality,NA,NA,BRUZUAL,11,0.9214029267918276
VEN.2.5_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Cajigal,NA,NA,Municipio,Municipality,NA,NA,CAJIGAL,12,0.6918227312643008
VEN.2.6_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Carvajal,NA,NA,Municipio,Municipality,NA,NA,CARVAJAL,13,1.0361559434848129
VEN.2.7_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Fernando de Peñalver,NA,NA,Municipio,Municipality,NA,NA,FERNANDO PENALVER,14,0.6360433830417325
VEN.2.8_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Freites,NA,NA,Municipio,Municipality,NA,NA,FREITES,15,1.2441386916381294
VEN.2.9_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,General Sir Arthur McGregor,NA,NA,Municipio,Municipality,NA,NA,GENERAL SIR ARTHUR MCGREGOR,16,0.7927694160201363
VEN.2.10_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Guanipa,NA,NA,Municipio,Municipality,NA,NA,GUANIPA,17,0.6786736987969225
VEN.2.11_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Guanta,NA,NA,Municipio,Municipality,NA,NA,GUANTA,18,0.6089012062395834
VEN.2.12_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Independencia,NA,NA,Municipio,Municipality,NA,NA,INDEPENDENCIA,19,0.8980184330660118
VEN.2.13_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Isla,NA,NA,Municipio,Municipality,NA,NA,ISLA,20,1.0383757045462698
VEN.2.14_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Libertad,NA,NA,Municipio,Municipality,NA,NA,LIBERTAD,21,0.9008795372874556
VEN.2.15_1,VEN,Venezuela,VEN.2_1,ANZOATEGUI,NA,Lic. Diego Bautista Urban,NA,NA,Municipio,Municipality,NA,NA,LIC. DIEGO BAUTISTA URBAN,22,1.2231740213402342
