Ent_Fed,Munic,Parroquia,Total
Distrito Capital,"Distrito Capital, Libertador",Altagracia,"47,922"
Distrito Capital,"Distrito Capital, Libertador",Antímano,"131,963"
Distrito Capital,"Distrito Capital, Libertador",Candelaria,"66,486"
Distrito Capital,"Distrito Capital, Libertador",Caricuao,"138,659"
Distrito Capital,"Distrito Capital, Libertador",Catedral,"12,777"
Distrito Capital,"Distrito Capital, Libertador",Coche,"59,889"
Distrito Capital,"Distrito Capital, Libertador",El Junquito,"50,470"
Distrito Capital,"Distrito Capital, Libertador",EL Paraíso,"109,622"
Distrito Capital,"Distrito Capital, Libertador",El Recreo,"112,809"
Distrito Capital,"Distrito Capital, Libertador",El Valle,"142,893"
Distrito Capital,"Distrito Capital, Libertador",La Pastora,"80,397"
Distrito Capital,"Distrito Capital, Libertador",La Vega,"123,863"
Distrito Capital,"Distrito Capital, Libertador",Macarao,"47,851"
Distrito Capital,"Distrito Capital, Libertador",San Agustín,"38,476"
Distrito Capital,"Distrito Capital, Libertador",San Bernardino,"27,353"
Distrito Capital,"Distrito Capital, Libertador",San José,"39,604"
Distrito Capital,"Distrito Capital, Libertador",San Juan,"106,507"
Distrito Capital,"Distrito Capital, Libertador",San Pedro,"58,254"
Distrito Capital,"Distrito Capital, Libertador",Santa Rosalía,"101,103"
Distrito Capital,"Distrito Capital, Libertador",Santa Teresa,"23,715"
Distrito Capital,"Distrito Capital, Libertador",Sucre,"345,944"
Distrito Capital,"Distrito Capital, Libertador",23 de Enero,"77,344"
Estado Amazonas,"Amazonas, Autónomo Alto Orinoco",Huachamacare,"7,487"
Estado Amazonas,"Amazonas, Autónomo Alto Orinoco",Marawaka,298
Estado Amazonas,"Amazonas, Autónomo Alto Orinoco",Mavaca,"1,289"
Estado Amazonas,"Amazonas, Autónomo Alto Orinoco",Sierra Parima,"3,613"
Estado Amazonas,"Amazonas, Autónomo Atabapo",Ucata,"9,169"
Estado Amazonas,"Amazonas, Autónomo Atures",Fernando Girón Tovar,"33,893"
Estado Amazonas,"Amazonas, Autónomo Atures",Luis Alberto Gómez,"50,221"
Estado Amazonas,"Amazonas, Autónomo Atures",Parhueña,"8,271"
Estado Amazonas,"Amazonas, Autónomo Atures",Platanillal,"11,843"
Estado Amazonas,"Amazonas, Autónomo Autana",Samariapo,"8,352"
Estado Amazonas,"Amazonas, Autónomo Maroa",Victorino,"2,029"
Estado Amazonas,"Amazonas, Autónomo Manapiare",Alto Ventuari,"7,715"
Estado Amazonas,"Amazonas, Autónomo Río Negro",Solano,"2,300"
Estado Anzoátegui,"Anzoátegui, Anaco",Capital Anaco,"114,825"
Estado Anzoátegui,"Anzoátegui, Anaco",San Joaquín,"4,229"
Estado Anzoátegui,"Anzoátegui, Anaco",Buena vista,"3,580"
Estado Anzoátegui,"Anzoátegui, Aragua",Capital Aragua,"28,058"
Estado Anzoátegui,"Anzoátegui, Aragua",Cachipo,"1,110"
Estado Anzoátegui,"Anzoátegui, Fernando de Peñalver",Capital Fernando de Peñalver,"27,513"
Estado Anzoátegui,"Anzoátegui, Fernando de Peñalver",San Miguel,"3,088"
Estado Anzoátegui,"Anzoátegui, Fernando de Peñalver",Sucre,"2,836"
Estado Anzoátegui,"Anzoátegui, Francisco del Carmen Carvajal",Capital Francisco del Carmen Carvajal,"13,475"
Estado Anzoátegui,"Anzoátegui, Francisco del Carmen Carvajal",Santa Bárbara,"1,178"
Estado Anzoátegui,"Anzoátegui, Francisco de Miranda",Capital Francisco de Miranda,"37,599"
Estado Anzoátegui,"Anzoátegui, Francisco de Miranda",Atapirire,"1,281"
Estado Anzoátegui,"Anzoátegui, Francisco de Miranda",Boca del Pao,"1,297"
Estado Anzoátegui,"Anzoátegui, Francisco de Miranda",El Pao,"2,996"
Estado Anzoátegui,"Anzoátegui, Guanta",Capital Guanta,"17,341"
Estado Anzoátegui,"Anzoátegui, Guanta",Chorrerón,"13,550"
Estado Anzoátegui,"Anzoátegui, Independencia",Capital Independencia,"23,036"
Estado Anzoátegui,"Anzoátegui, Independencia",Mamo,"6,980"
Estado Anzoátegui,"Anzoátegui, Juan Antonio Sotillo",Capital Puerto La Cruz,"84,730"
Estado Anzoátegui,"Anzoátegui, Juan Antonio Sotillo",Pozuelos,"159,998"
Estado Anzoátegui,"Anzoátegui, Juan Manuel Cajigal",Capital Juan Manuel Cajigal,"10,705"
Estado Anzoátegui,"Anzoátegui, Juan Manuel Cajigal",San Pablo,"2,771"
Estado Anzoátegui,"Anzoátegui, José Gregorio Monagas",Capital José Gregorio Monagas,"4,316"
Estado Anzoátegui,"Anzoátegui, José Gregorio Monagas",Piar,"1,011"
Estado Anzoátegui,"Anzoátegui, José Gregorio Monagas",San Diego de Cabrutica,"4,625"
Estado Anzoátegui,"Anzoátegui, José Gregorio Monagas",Santa Clara,"1,774"
Estado Anzoátegui,"Anzoátegui, José Gregorio Monagas",Uverito,"2,236"
Estado Anzoátegui,"Anzoátegui, José Gregorio Monagas",Zuata,"3,572"
Estado Anzoátegui,"Anzoátegui, Libertad",Capital Libertad,"9,510"
Estado Anzoátegui,"Anzoátegui, Libertad",El Carito,"1,467"
Estado Anzoátegui,"Anzoátegui, Libertad",Santa Inés,"3,460"
Estado Anzoátegui,"Anzoátegui, Manuel Ezequiel Bruzual",Capital Manuel Ezequiel Bruzual,"18,908"
Estado Anzoátegui,"Anzoátegui, Manuel Ezequiel Bruzual",Guanape,"7,461"
Estado Anzoátegui,"Anzoátegui, Manuel Ezequiel Bruzual",Sabana de Uchire,"6,286"
Estado Anzoátegui,"Anzoátegui, Pedro María Fréites",Capital Pedro María Fréites,"57,836"
Estado Anzoátegui,"Anzoátegui, Pedro María Fréites",Libertador,"2,732"
Estado Anzoátegui,"Anzoátegui, Pedro María Fréites",Santa Rosa,"5,653"
Estado Anzoátegui,"Anzoátegui, Pedro María Fréites",Urica,"6,900"
Estado Anzoátegui,"Anzoátegui, Píritu",Capital Píritu,"22,219"
Estado Anzoátegui,"Anzoátegui, Píritu",San Francisco,"1,029"
Estado Anzoátegui,"Anzoátegui, San José de Guanipa",No tiene parroquia (Capital El Tigrito),"76,398"
Estado Anzoátegui,"Anzoátegui, San Juan de Capistrano",Capital San Juan de Capistrano,"7,962"
Estado Anzoátegui,"Anzoátegui, San Juan de Capistrano",Boca de Chávez,"1,085"
Estado Anzoátegui,"Anzoátegui, Santa Ana",Capital Santa Ana,"9,252"
Estado Anzoátegui,"Anzoátegui, Santa Ana",Pueblo Nuevo,384
Estado Anzoátegui,"Anzoátegui, Simón Bolívar",El Carmen,"208,554"
Estado Anzoátegui,"Anzoátegui, Simón Bolívar",San Cristóbal,"176,570"
Estado Anzoátegui,"Anzoátegui, Simón Bolívar",Bergantín,"4,635"
Estado Anzoátegui,"Anzoátegui, Simón Bolívar",Caigua,"5,276"
Estado Anzoátegui,"Anzoátegui, Simón Bolívar",El Pilar,"3,083"
Estado Anzoátegui,"Anzoátegui, Simón Bolívar",Naricual,"23,306"
Estado Anzoátegui,"Anzoátegui, Simón Rodríguez",Edmundo Barrios,"182,474"
Estado Anzoátegui,"Anzoátegui, Sir Artur Mc Gregor",Capital Sir Arthur Mc Gregor,"8,837"
Estado Anzoátegui,"Anzoátegui, Sir Artur Mc Gregor",Tomás Alfaro Calatrava,931
Estado Anzoátegui,"Anzoátegui, Turístico Diego Bautista Urbaneja",Capital Diego Bautista Urbaneja,"22,605"
Estado Anzoátegui,"Anzoátegui, Turístico Diego Bautista Urbaneja",El Morro,"15,224"
Estado Apure,"Apure, Achaguas",Urbana Achaguas,"32,662"
Estado Apure,"Apure, Achaguas",Apurito,"5,041"
Estado Apure,"Apure, Achaguas",El Yagual,"4,624"
Estado Apure,"Apure, Achaguas",Guachara,"4,885"
Estado Apure,"Apure, Achaguas",Mucuritas,"4,499"
Estado Apure,"Apure, Achaguas",Queseras del Medio,"6,805"
Estado Apure,"Apure, Biruaca",Urbana Biruaca,"54,323"
Estado Apure,"Apure, Muñoz",Urbana Bruzual,"5,943"
Estado Apure,"Apure, Muñoz",Mantecal,"13,582"
Estado Apure,"Apure, Muñoz",Quintero,"1,025"
Estado Apure,"Apure, Muñoz",Rincón Hondo,"5,385"
Estado Apure,"Apure, Muñoz",San Vicente,"1,607"
Estado Apure,"Apure, Páez",Urbana Guasdualito,"48,420"
Estado Apure,"Apure, Páez",Aramendi,"4,649"
Estado Apure,"Apure, Páez",El Amparo,"10,582"
Estado Apure,"Apure, Páez",San Camilo,"22,579"
Estado Apure,"Apure, Páez",Urdaneta,"13,895"
Estado Apure,"Apure, Pedro Camejo",Urbana San Juan de Payara,"11,230"
Estado Apure,"Apure, Pedro Camejo",Codazzi,"4,705"
Estado Apure,"Apure, Pedro Camejo",Cunaviche,"13,031"
Estado Apure,"Apure, Rómulo Gallegos",Urbana Elorza,"20,000"
Estado Apure,"Apure, Rómulo Gallegos",La Trinidad,"4,418"
Estado Apure,"Apure, San Fernando",Urbana San Fernando,"122,354"
Estado Apure,"Apure, San Fernando",El Recreo,"26,027"
Estado Apure,"Apure, San Fernando",Peñalver,"11,392"
Estado Apure,"Apure, San Fernando",San Rafael de Atamaica,"5,362"
Estado Aragua,"Aragua, Bolívar",No tiene parroquia (Capital San Mateo),"38,047"
Estado Aragua,"Aragua, Camatagua",Camatagua,"12,995"
Estado Aragua,"Aragua, Camatagua",No Urbana Carmen de Cura,"3,632"
Estado Aragua,"Aragua, Girardot",No Urbana Choroní,"5,815"
Estado Aragua,"Aragua, Girardot",Urbana Las Delicias,"45,326"
Estado Aragua,"Aragua, Girardot",Urbana Madre María de San José,"59,776"
Estado Aragua,"Aragua, Girardot",Urbana Joaquín Crespo,"45,808"
Estado Aragua,"Aragua, Girardot",Urbana Pedro José Ovalles,"60,173"
Estado Aragua,"Aragua, Girardot",Urbana José Casanova Godoy,"65,847"
Estado Aragua,"Aragua, Girardot",Urbana Andrés Eloy Blanco,"47,263"
Estado Aragua,"Aragua, Girardot",Urbana Los Tacariguas,"77,101"
Estado Aragua,"Aragua, José Ángel Lamas",No tiene parroquia (Capital Santa Cruz),"32,981"
Estado Aragua,"Aragua, José Félix Ribas",Urbana Juan Vicente Bolívar y Ponte,"53,622"
Estado Aragua,"Aragua, José Félix Ribas",Urbana Castor Nieves Ríos,"45,710"
Estado Aragua,"Aragua, José Félix Ribas",No Urbana Las Guacamayas,"7,663"
Estado Aragua,"Aragua, José Félix Ribas",No Urbana Pao de Zárate,"3,833"
Estado Aragua,"Aragua, José Félix Ribas",No Urbana Zuata,"32,673"
Estado Aragua,"Aragua, José Rafael Revenga",No tiene parroquia (Capital El Consejo),"48,800"
Estado Aragua,"Aragua, Libertador",Libertador,"57,475"
