EST,Muni_Clean,Riesgo_Espacial
MIRANDA,CHACAO,4.155293324228914
YARACUY,SAN FELIPE,4.153591536614153
TACHIRA,SAN CRISTOBAL,3.836429532518456
TRUJILLO,VALERA,3.7825256568823504
NUEVA ESPARTA,MARINO,3.7666190015942256
ARAGUA,GIRARDOT,3.266768854723955
MERIDA,LIBERTADOR,3.2223515248100263
CARABOBO,NAGUANAGUA,3.1124266006581522
TRUJILLO,TRUJILLO,2.8318636842600946
DISTRITO CAPITAL,LIBERTADOR,2.6964937731386827
PORTUGUESA,ARAURE,2.673526490049499
GUARICO,JUAN GERMAN ROSCIO,2.4059358573046747
MIRANDA,BARUTA,2.313822716815242
SUCRE,BERMUDEZ,2.2763711392691848
ZULIA,MARACAIBO,2.172685113599587
CARABOBO,PUERTO CABELLO,2.159675034105946
TRUJILLO,BOCONO,2.130865840489079
LARA,IRIBARREN,2.091597008222616
APURE,SAN FERNANDO,2.0708888123657188
BOLIVAR,HERES,2.066824572309389
ARAGUA,JOSE FELIX RIBAS,2.055486513877011
COJEDES,EZEQUIEL ZOMORA,2.0493436560863736
GUARICO,LEONARDO INFANTE,2.0055532788849755
CARABOBO,VALENCIA,2.0001905133207427
FALCON,MIRANDA,1.9745389151337447
MIRANDA,SUCRE,1.9597880822642153
CARABOBO,BEJUMA,1.938634644138154
MIRANDA,LANDER,1.848612386475031
TACHIRA,JAUREGUI,1.8168442563272356
BARINAS,BARINAS,1.812043686110083
MIRANDA,GUAICAIPURO,1.7979816595922051
TRUJILLO,CARACHE,1.7928334384575253
VARGAS,VARGAS,1.7309003955118956
SUCRE,SUCRE,1.7228033292492368
ZULIA,LAGUNILLAS,1.7188223246114351
PORTUGUESA,GUANARE,1.7016908526480852
BOLIVAR,CARONI,1.6820459413878805
TACHIRA,SUCRE,1.677478012972652
ZULIA,CABIMAS,1.6509397902758387
FALCON,SILVA,1.6356788412817769
GUARICO,JOSE TADEO MONAGAS,1.6218314774640783
MONAGAS,MATURIN,1.6132952535633047
MERIDA,TOVAR,1.5657020365611842
MIRANDA,BRION,1.536449042400943
TACHIRA,PANAMERICANO,1.5084273482854342
MIRANDA,PAEZ,1.5056446640150434
ANZOATEGUI,BOLIVAR,1.4920739308404287
TACHIRA,AYACUCHO,1.4648425512843906
GUARICO,JULIAN MELLADO,1.4610779455764795
TACHIRA,URIBANTE,1.449707986329943
MIRANDA,ACEVEDO,1.4396527861868513
MERIDA,ARZOBISPO CHACON,1.4293749311986115
MERIDA,ALBERTO ADRIANI,1.4265729000250957
TRUJILLO,JUAN VICENTE CAMPOS ELIAS,1.423805012285031
DELTA AMACURO,TUCUPITA,1.419635636775067
ARAGUA,BOLIVAR,1.4032030630546874
MERIDA,ARICAGUA,1.3943875836218396
MERIDA,CARDENAL QUINTERO,1.3917787410199383
NUEVA ESPARTA,MARCANO,1.3879038817693539
YARACUY,NIRGUA,1.3866450411382865
TACHIRA,GARCIA HEVIA,1.3810398367801873
ANZOATEGUI,SIMON RODRIGUEZ,1.3778103832124917
GUARICO,FRANCISCO DE MIRANDA,1.375775047900601
TACHIRA,SIMON RODRIGUEZ,1.3753338351757283
MERIDA,GUARAQUE,1.372604487715845
ARAGUA,LIBERTADOR,1.3680715816831988
TACHIRA,FRANCISCO MIRANDA,1.3665147139292115
MERIDA,PUEBLO LLANO,1.3607295962690322
GUARICO,PEDRO ZARAZA,1.3559878196497324
LARA,TORRES,1.347838493068023
MERIDA,CARACCIOLO PARRA OLMEDO,1.3408323337869856
BOLIVAR,PIAR,1.3329208152345278
ZULIA,COLON,1.3305078987935874
FALCON,CARIRUBANA,1.3200186398044575
ARAGUA,CAMATAGUA,1.3120383922061982
BARINAS,EZEQUIEL ZAMORA,1.3118027711161304
MIRANDA,ANDRES BELLO,1.3059900419175032
MERIDA,MIRANDA,1.3027489454855306
ANZOATEGUI,SAN JUAN CAPISTRANO,1.3000957323584
CARABOBO,DIEGO IBARRA,1.2994504565381042
TACHIRA,MICHELENA,1.299386393941727
SUCRE,MARINO,1.299234574723424
TRUJILLO,URDANETA,1.2870541691702024
TRUJILLO,SUCRE,1.2750226865316574
ARAGUA,SAN CASIMIRO,1.2568588384331907
ARAGUA,ZAMORA,1.2510943671265953
ARAGUA,SUCRE,1.2500219214807995
ANZOATEGUI,FREITES,1.2441386916381294
AMAZONAS,ATURES,1.236173573637048
MERIDA,JULIO CESAR SALAS,1.2341441224244711
DELTA AMACURO,PEDERNALES,1.2335233866832815
MERIDA,ZEA,1.2324246519642914
ZULIA,SUCRE,1.232089881644487
NUEVA ESPARTA,ARISMENDI,1.231920408738785
MIRANDA,INDEPENDENCIA,1.2308763753840593
TACHIRA,JUNIN,1.2306243803977899
ANZOATEGUI,LIC. DIEGO BAUTISTA URBAN,1.2231740213402342
TACHIRA,FERNANDEZ FEO,1.2218859427845212
MERIDA,OBISPO RAMOS LORA,1.2145961871745086
TACHIRA,LIBERTADOR,1.2102725028806294
MERIDA,JUSTO BRICENO,1.2074997286290645
COJEDES,TINAQUILLO,1.1978795886255866
MIRANDA,ZAMORA,1.1975053543264937
MERIDA,ANTONIO PINTO SALINAS,1.1951203404911848
TRUJILLO,ANDRES BELLO,1.1806377455961834
BOLIVAR,EL CALLAO,1.1779348487514723
SUCRE,CAJIGAL,1.1706180598530924
SUCRE,ANDRES ELOY BLANCO,1.1683962339614617
LARA,MORAN,1.1646049958701723
TACHIRA,RAFAEL URDANETA,1.1639561734128216
ZULIA,MARA,1.1631755916658981
SUCRE,MONTES,1.1542692427380459
SUCRE,VALDEZ,1.1532150884299939
ZULIA,ROSARIO PERIJA,1.1496808827205955
TRUJILLO,MONTE CARMELO,1.1348654206467959
MERIDA,RANGEL,1.1320621993520956
TACHIRA,BOLIVAR,1.1318643201580256
ZULIA,MACHIQUES PERIJA,1.1302104303758784
PORTUGUESA,MONSENOR JOSE VICENTE UNDA,1.1200360195078483
BOLIVAR,ROSCIO,1.1176411065846807
GUARICO,SANTA MARIA IPIRE,1.111330567365721
TACHIRA,JOSE MARIA VARGAS,1.109892017637572
MERIDA,SUCRE,1.108922257752694
ARAGUA,SANTOS MICHELENA,1.1034819218375171
COJEDES,ANZOATEGUI,1.1019724094103271
PORTUGUESA,SUCRE,1.0989423240586038
