ESTADO,DIV_POL,OCURRENCIA,VARONES_O,HEMBRAS_O,RESIDENCIA,VARONES_R,HEMBRAS_R,Ano
AMAZONAS,Municipio Autónomo Alto Orinoco,5,2,3,8,3,5,2016
AMAZONAS,Municipio Autónomo Atabapo,35,19,16,23,11,12,2016
AMAZONAS,Municipio Autónomo Atures,547,388,159,577,406,171,2016
AMAZONAS,Municipio Autónomo Autana,19,16,3,21,16,5,2016
AMAZONAS,Municipio Autónomo Manapiare,7,5,2,10,5,5,2016
ANZOATEGUI,Municipio Anaco,499,326,173,621,404,217,2016
ANZOATEGUI,Municipio Aragua,98,63,35,126,76,50,2016
ANZOATEGUI,Municipio Diego Bautista Urbaneja,291,169,122,215,129,86,2016
ANZOATEGUI,Municipio Fernando Peñalver,84,58,26,140,87,53,2016
ANZOATEGUI,Municipio Francisco de Miranda,156,102,54,218,140,78,2016
ANZOATEGUI,Municipio Francisco del Carmen Carvajal,71,41,30,95,55,40,2016
ANZOATEGUI,Municipio Guanta,85,52,33,152,92,60,2016
ANZOATEGUI,Municipio Independencia,88,59,29,161,100,61,2016
ANZOATEGUI,Municipio José Gregorio Monagas,72,48,24,95,60,35,2016
ANZOATEGUI,Municipio Juan Antonio Sotillo,989,586,403,1341,788,553,2016
ANZOATEGUI,Municipio Juan Manuel Cajigal,45,28,17,61,36,25,2016
ANZOATEGUI,Municipio Libertad,60,42,18,56,37,19,2016
ANZOATEGUI,Municipio Manuel Ezequiel Bruzual,131,82,49,186,118,68,2016
ANZOATEGUI,Municipio Pedro María Freites,442,260,182,332,199,133,2016
ANZOATEGUI,Municipio Píritu,107,58,49,144,76,68,2016
ANZOATEGUI,Municipio San José de Guanipa,266,168,98,406,239,167,2016
ANZOATEGUI,Municipio San Juan de Capistrano,45,29,16,47,31,16,2016
ANZOATEGUI,Municipio Santa Ana,24,14,10,32,18,14,2016
ANZOATEGUI,Municipio Simón Bolívar,3.248,1.9,1.348,2544,1502,1042,2016
ANZOATEGUI,Municipio Simón Rodríguez,1.171,703,468,1139,685,454,2016
ANZOATEGUI,Municipio Sir Artur Mc. Gregor,30,22,8,53,31,22,2016
APURE,Municipio Achaguas,225,144,81,371,227,144,2016
APURE,Municipio Biruaca,156,115,41,331,220,111,2016
APURE,Municipio Muños,69,42,27,133,77,56,2016
APURE,Municipio Páez,259,176,83,437,270,167,2016
APURE,Municipio Pedro Camejo,92,69,23,165,99,66,2016
APURE,Municipio Rómulo Gallegos,85,50,35,134,77,57,2016
APURE,Municipio San Fernando,1.769,1.019,750,1214,719,495,2016
ARAGUA,Municipio Bolívar,281,204,77,419,279,140,2016
ARAGUA,Municipio Camatagua,137,102,35,148,105,43,2016
ARAGUA,Municipio Francisco Linares Alcántara,425,299,126,965,581,384,2016
ARAGUA,Municipio Girardot,6.109,3.543,2.566,3686,2192,1494,2016
ARAGUA,Municipio José Ángel Lamas,152,111,41,231,143,88,2016
ARAGUA,Municipio José Félix Rivas,1.262,799,463,1146,735,411,2016
ARAGUA,Municipio José Rafael Revenga,254,202,52,426,305,121,2016
ARAGUA,Municipio Libertador,947,572,375,778,503,275,2016
ARAGUA,Municipio Mario Briceño Iragorry,415,238,177,829,458,371,2016
ARAGUA,Municipio Ocumare de la Costa,70,47,23,78,49,29,2016
ARAGUA,Municipio San Casimiro,176,126,50,268,186,82,2016
ARAGUA,Municipio San Sebastián,129,99,30,188,129,59,2016
ARAGUA,Municipio Santiago Mariño,937,658,279,1494,968,526,2016
ARAGUA,Municipio Santos Michelena,191,158,33,292,220,72,2016
ARAGUA,Municipio Sucre,728,431,297,891,521,370,2016
ARAGUA,Municipio Tovar,72,56,16,107,76,31,2016
ARAGUA,Municipio Urdaneta,89,62,27,132,91,41,2016
ARAGUA,Municipio Zamora,938,657,281,1264,839,425,2016
BARINAS,Municipio Alberto Arvelo Torrealba,177,122,55,266,177,89,2016
BARINAS,Municipio Andres Eloy Blanco,38,25,13,65,39,26,2016
BARINAS,Municipio Antonio José de Sucre,309,212,97,435,282,153,2016
BARINAS,Municipio Arismendi,29,23,6,74,48,26,2016
BARINAS,Municipio Barinas,3.127,1.954,1.173,2226,1404,822,2016
BARINAS,Municipio Bolívar,203,123,80,333,207,126,2016
BARINAS,Municipio Cruz Paredes,89,57,32,161,98,63,2016
BARINAS,Municipio Ezequiel Zamora,212,130,82,303,192,111,2016
BARINAS,Municipio Obispos,117,84,33,229,148,81,2016
BARINAS,Municipio Pedraza,219,137,82,355,215,140,2016
BARINAS,Municipio Rojas,106,79,27,226,151,75,2016
BARINAS,Municipio Sosa,43,26,17,95,54,41,2016
BOLIVAR,Municipio Caroni,5.313,3.318,1.995,4874,3082,1792,2016
BOLIVAR,Municipio Cedeño,190,109,81,261,152,109,2016
BOLIVAR,Municipio El Callao,161,126,35,197,143,54,2016
BOLIVAR,Municipio Gran Sabana,109,72,37,111,70,41,2016
BOLIVAR,Municipio Heres,2.945,1.799,1.146,2655,1630,1025,2016
BOLIVAR,Municipio Padre Pedro Chien,37,18,19,77,38,39,2016
BOLIVAR,Municipio Piar,606,369,237,740,444,296,2016
BOLIVAR,Municipio Raúl leoni,83,59,24,140,87,53,2016
BOLIVAR,Municipio Roscio,196,141,55,230,157,73,2016
BOLIVAR,Municipio Sifontes,327,257,70,361,261,100,2016
BOLIVAR,Municipio Sucre,20,14,6,50,28,22,2016
CARABOBO,Municipio Bejuma,435,264,171,346,219,127,2016
CARABOBO,Municipio Carlos Arvelo,755,551,204,1065,743,322,2016
CARABOBO,Municipio Diego Ibarra,681,459,222,794,516,278,2016
CARABOBO,Municipio Guacara,1.006,670,336,1332,838,494,2016
CARABOBO,Municipio Juan José Mora,270,180,90,494,312,182,2016
CARABOBO,Municipio Libertador,751,543,208,1198,808,390,2016
CARABOBO,Municipio Los Guayos,509,346,163,823,523,300,2016
CARABOBO,Municipio Miranda,127,84,43,215,131,84,2016
CARABOBO,Municipio Montalbán,82,44,38,148,78,70,2016
CARABOBO,Municipio Naguanagua,2.477,1.332,1.145,1234,700,534,2016
CARABOBO,Municipio Puerto Cabello,1.744,1.061,683,1543,947,596,2016
CARABOBO,Municipio San Diego,454,235,219,538,311,227,2016
CARABOBO,Municipio San Joaquín,249,167,82,369,228,141,2016
CARABOBO,Municipio Valencia,7.257,4.443,2.814,6738,4055,2683,2016
COJEDES,Municipio Anzoátegui,37,19,18,87,55,32,2016
COJEDES,Municipio Falcón,590,384,206,668,431,237,2016
COJEDES,Municipio Girardot,44,29,15,59,38,21,2016
COJEDES,Municipio Lima Blanco,33,19,14,49,23,26,2016
COJEDES,Municipio Pao de San Juan  Bautista,53,42,11,105,76,29,2016
COJEDES,Municipio Ricaurte,43,29,14,96,57,39,2016
COJEDES,Municipio Rómulo Gallegos,67,46,21,124,75,49,2016
COJEDES,Municipio San Carlos,1.068,644,424,724,455,269,2016
COJEDES,Municipio Tinaco,113,86,27,204,127,77,2016
DELTA AMACURO,Municipio Antonio Díaz,19,15,4,64,36,28,2016
DELTA AMACURO,Municipio Casacoima,110,76,34,178,115,63,2016
DELTA AMACURO,Municipio Pedernales,23,8,15,43,15,28,2016
DELTA AMACURO,Municipio Tucupita,637,375,262,637,383,254,2016
DISTRITO CAPITAL,Parroquia Altagracia,165,91,74,363,207,156,2016
DISTRITO CAPITAL,Parroquia Antímano,697,465,232,999,681,318,2016
DISTRITO CAPITAL,Parroquia Candelaria,312,159,153,462,222,240,2016
DISTRITO CAPITAL,Parroquia Caricuao,546,294,252,1046,587,459,2016
DISTRITO CAPITAL,Parroquia Catedral,35,24,11,63,42,21,2016
DISTRITO CAPITAL,Parroquia Coche,603,448,155,631,392,239,2016
DISTRITO CAPITAL,Parroquia El Junquito,185,120,65,467,295,172,2016
DISTRITO CAPITAL,Parroquia El Paraíso,4.3,2.622,1.678,1049,568,481,2016
DISTRITO CAPITAL,Parroquia El Recreo,1.02,509,511,1138,593,545,2016
DISTRITO CAPITAL,Parroquia El Valle,516,311,205,1200,711,489,2016
DISTRITO CAPITAL,Parroquia La Pastora,539,319,220,706,408,298,2016
DISTRITO CAPITAL,Parroquia La Vega,477,293,184,1061,664,397,2016
DISTRITO CAPITAL,Parroquia Macarao,210,147,63,444,297,147,2016
